record_id_a,record_id_b,match_score,match_type,matched_fields
MBR_100002,SEC_100003,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100002,XPL_100004,0.97,deterministic,member_number_exact|email_domain_fuzzy|address_fuzzy|society_exact
MBR_100002,CONF_100005,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
SEC_100003,XPL_100004,0.99,deterministic,member_number_exact|email_exact|address_fuzzy|society_exact
SEC_100003,CONF_100005,0.99,deterministic,member_number_exact|name_exact|society_exact
XPL_100004,CONF_100005,0.87,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100006,XPL_100007,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
MBR_100006,SEC_100008,0.95,deterministic,member_number_exact|name_exact
XPL_100007,SEC_100008,0.99,deterministic,member_number_exact|name_exact|address_fuzzy
MBR_100009,XPL_100010,0.8,probabilistic,email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100009,SEC_100011,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
XPL_100010,SEC_100011,0.7,probabilistic,email_domain_fuzzy|name_exact|address_fuzzy|society_exact
MBR_100013,SOC_100014,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy
MBR_100013,CONF_100015,0.58,probabilistic,name_exact|address_fuzzy
MBR_100013,SEC_100016,0.99,deterministic,member_number_exact|name_fuzzy|phone_exact
SOC_100014,CONF_100015,0.66,probabilistic,name_exact|address_fuzzy|society_exact
SOC_100014,SEC_100016,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|phone_exact|society_exact
CONF_100015,SEC_100016,0.52,probabilistic,name_fuzzy|society_exact
MBR_100020,CONF_100021,0.69,probabilistic,name_exact|phone_exact|address_fuzzy|society_exact
MBR_100020,SOC_100022,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
CONF_100021,SOC_100022,0.7,probabilistic,name_exact|phone_exact|society_exact
MBR_100023,XPL_100024,0.79,probabilistic,email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
MBR_100025,CONF_100026,0.94,deterministic,member_number_exact|address_fuzzy|society_exact
MBR_100025,SOC_100027,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|society_exact
CONF_100026,SOC_100027,0.84,deterministic,member_number_exact|society_exact
MBR_100028,SEC_100029,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
MBR_100030,XPL_100031,0.96,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|society_exact
MBR_100030,SEC_100032,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|phone_exact|society_exact
MBR_100030,SOC_100033,0.94,deterministic,member_number_exact|address_fuzzy|society_exact
XPL_100031,SEC_100032,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
XPL_100031,SOC_100033,0.92,deterministic,member_number_exact|name_fuzzy|society_exact
SEC_100032,SOC_100033,0.94,deterministic,member_number_exact|name_fuzzy|society_exact
MBR_100034,SOC_100035,0.99,deterministic,member_number_exact|email_exact|name_exact|address_fuzzy|society_exact
MBR_100038,SEC_100039,0.96,deterministic,member_number_exact|phone_exact|society_exact
MBR_100038,CONF_100040,0.56,probabilistic,name_exact|society_exact
SEC_100039,CONF_100040,0.73,probabilistic,email_exact|address_fuzzy|society_exact
MBR_100041,SOC_100042,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100041,XPL_100043,0.73,probabilistic,email_exact|phone_exact|society_exact
MBR_100041,SEC_100044,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|address_fuzzy|society_exact
SOC_100042,XPL_100043,0.46,probabilistic,address_fuzzy|society_exact
SOC_100042,SEC_100044,0.99,deterministic,member_number_exact|name_exact|phone_exact|address_fuzzy|society_exact
XPL_100043,SEC_100044,0.47,probabilistic,email_domain_fuzzy|society_exact
MBR_100045,CONF_100046,0.56,probabilistic,phone_exact|address_fuzzy
MBR_100045,SOC_100047,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy
CONF_100046,SOC_100047,0.61,probabilistic,phone_exact|address_fuzzy|society_exact
MBR_100048,SEC_100049,0.99,deterministic,member_number_exact|email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100048,SOC_100050,0.99,deterministic,member_number_exact|email_exact|phone_exact|address_fuzzy|society_exact
MBR_100048,CONF_100051,0.92,deterministic,member_number_exact|address_fuzzy|society_exact
SEC_100049,SOC_100050,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact|address_fuzzy|society_exact
SEC_100049,CONF_100051,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
SOC_100050,CONF_100051,0.99,deterministic,member_number_exact|name_exact|address_fuzzy|society_exact
MBR_100052,SOC_100053,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|society_exact
MBR_100055,XPL_100056,0.66,probabilistic,email_domain_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100057,SOC_100058,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|phone_exact|address_fuzzy|society_exact
MBR_100057,CONF_100059,0.62,probabilistic,name_exact|address_fuzzy|society_exact
SOC_100058,CONF_100059,0.57,probabilistic,name_fuzzy|address_fuzzy|society_exact
MBR_100060,SEC_100061,0.92,deterministic,member_number_exact|name_fuzzy|society_exact
MBR_100060,SOC_100062,0.99,deterministic,member_number_exact|name_exact|society_exact
MBR_100060,XPL_100063,0.9,deterministic,member_number_exact|email_domain_fuzzy|society_exact
SEC_100061,SOC_100062,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_fuzzy|phone_exact|address_fuzzy|society_exact
SEC_100061,XPL_100063,0.97,deterministic,member_number_exact|phone_exact|society_exact
SOC_100062,XPL_100063,0.97,deterministic,member_number_exact|phone_exact|society_exact
MBR_100064,SEC_100065,0.99,deterministic,member_number_exact|name_exact|address_fuzzy
MBR_100064,SOC_100066,0.99,deterministic,member_number_exact|name_exact|society_exact
SEC_100065,SOC_100066,0.99,deterministic,member_number_exact|email_domain_fuzzy|name_exact|phone_exact
MBR_100067,CONF_100068,0.55,probabilistic,email_domain_fuzzy|name_fuzzy|society_exact
MBR_100067,XPL_100069,0.91,deterministic,member_number_exact|email_domain_fuzzy|society_exact
CONF_100068,XPL_100069,0.74,probabilistic,email_exact|phone_exact|society_exact
MBR_100070,SOC_100071,0.86,deterministic,member_number_exact|society_exact
